code,class,course title,credits,category,instructor,day,period
CO125,01-04,"English Academic Writing, Level 1 W101SP～W104SP",2,English III,,,
CO126,01-14,"English Academic Writing, Level 2 W201SP～W214SP",1,English III,,,
CO127,01-18,"English Academic Writing, Level 3 W301SP～W30XSP",1,English III,,,
CO113,01,English Support 01,2,English Support,"MUEHLEISEN, Victoria L. ミューライゼン ヴィクトリア",Mon.,３時限
CO113,02,English Support 02,2,English Support,"MUEHLEISEN, Victoria L. ミューライゼン ヴィクトリア",Mon.,４時限
GE162,01,English Plus (Writing to inform and persuade) 01,2,English Plus,"SNYDER, William Emmett スナイダー ウィリアム エメット",Thur.,５時限
GE163,01,English Plus (Speech and Public Speaking) 01,2,English Plus,"AOTANI, Yuko 青谷 優子",Thur.,４時限
GE164,01,English Plus (Leading Discussion (and presentation)) 01,2,English Plus,"FIELD, Malcolm フィールド マルコム",Fri.,２時限
CO131,01,French I 01,2,Other Foreign Languages - Level 1,"GIUNTA, Lena ジュンタ レナ, BERTHET, Didier ベルテ ディディエ","Tues., Mon.","２時限, ５時限"
CO131,02,French I 02,2,Other Foreign Languages - Level 1,"HATTORI, Catherine 服部 カトリーヌ",Mon.,"１時限, ２時限"
CO132,01,German I 01,2,Other Foreign Languages - Level 1,"RUDE, Markus ルーデ マルクス, MUELENZ-GOLI, Katharina ムレンス ゴリ カタリナ","Mon., Tues.",１時限
CO132,02,German I 02,2,Other Foreign Languages - Level 1,"NICKEL, Frank ニッケル フランク, WEICHERT, Robin Frank ヴァイヒャート ロビン フランク","Wed., Fri.",１時限
CO133,01,Spanish I 01,2,Other Foreign Languages - Level 1,"MONTERO PEREDA, Francisco Javier モンテロ ペレダ フランシスコ ハビエル","Mon., Wed.",１時限
CO133,02,Spanish I 02,2,Other Foreign Languages - Level 1,"MOYANO LOPEZ, Juan Carlos モヤノ ロペス フアン カルロス, FOWLER, Arthur ファウラー アーサー","Mon., Wed.",１時限
CO133,03,Spanish I 03,2,Other Foreign Languages - Level 1,"NAKAMICHI, Shinji 仲道 慎治, SHINTANI, Roxana 新谷 ロクサナ","Mon., Fri.",１時限
CO133,04,Spanish I 04,2,Other Foreign Languages - Level 1,"FOWLER, Arthur ファウラー アーサー","Tues., Thur.",１時限
CO133,05,Spanish I 05,2,Other Foreign Languages - Level 1,"KAWASAKI, Kayo 河崎 佳代, SOTO MEJIA, Maria Irina ソトメヒア マリア イリナ","Mon., Fri.",１時限
CO133,06,Spanish I 06,2,Other Foreign Languages - Level 1,"FOWLER, Arthur ファウラー アーサー, SOTO MEJIA, Maria Irina ソトメヒア マリア イリナ","Mon., Wed.",１時限
CO134,01,Chinese I 01,2,Other Foreign Languages - Level 1,"NAGAI, Tetsuro 永井 鉄郎, IGUCHI, Hirofumi 井口 博文","Tues., Fri.",１時限
CO134,02,Chinese I 02,2,Other Foreign Languages - Level 1,"CHEN, Tien Shi 陳 天璽, WANG, Yijen 王 怡人","Thur., Fri.","２時限, １時限"
CO134,03,Chinese I 03 (Direct Method),2,Other Foreign Languages - Level 1,"WU, Yingru 呉 映儒, WANG, Yijen 王 怡人","Mon., Wed.",２時限
CO135,01,Russian I 01,2,Other Foreign Languages - Level 1,"SHADRINA, Elena シャドリナ エレナ","Wed., Thur.",１時限
CO136,01,Korean I 01,2,Other Foreign Languages - Level 1,"NAKAZATO, Hisaya 中里 久弥, KAMIYA, Niji 神谷 丹路","Mon., Wed.",２時限
CO136,02,Korean I 02,2,Other Foreign Languages - Level 1,"KISHI, Kanako 岸 加那子, KAIMORI, Tokiko 貝森 時子","Mon., Thur.",２時限
CO136,03,Korean I 03,2,Other Foreign Languages - Level 1,"TATSUNO, Sayo 龍野 沙代","Tues., Fri.",２時限
CO136,04,Korean I 04,2,Other Foreign Languages - Level 1,"RHEE, Maji Christine リー マージ クリスティン, JUN, Dongwon 全 東園","Tues., Fri.",２時限
CO141,01,French II 01,2,Other Foreign Languages - Level 2,"BERTHET, Didier ベルテ ディディエ",Wed.,"１時限, ２時限"
CO141,02,French II 02,2,Other Foreign Languages - Level 2,"HATTORI, Catherine 服部 カトリーヌ",Tues.,"１時限, ２時限"
CO142,01,German II 01,2,Other Foreign Languages - Level 2,"NUNOKAWA, Yasuko 布川 恭子, NICKEL, Frank ニッケル フランク","Mon., Wed.","１時限, ２時限"
CO143,02,Spanish II 02,2,Other Foreign Languages - Level 2,"MONTERO PEREDA, Francisco Javier モンテロ ペレダ フランシスコ ハビエル","Mon., Wed.",２時限
CO143,03,Spanish II 03,2,Other Foreign Languages - Level 2,"NAKAMICHI, Shinji 仲道 慎治, SHINTANI, Roxana 新谷 ロクサナ","Mon., Fri.",２時限
CO143,04,Spanish II 04,2,Other Foreign Languages - Level 2,"KAWASAKI, Kayo 河崎 佳代, SOTO MEJIA, Maria Irina ソトメヒア マリア イリナ","Mon., Fri.",２時限
CO144,01,Chinese II 01,2,Other Foreign Languages - Level 2,"WU, Yingru 呉 映儒, OH, Zuirai 王 瑞来","Mon., Thur.",１時限
CO144,02,Chinese II 02,2,Other Foreign Languages - Level 2,"NAGAI, Tetsuro 永井 鉄郎, ARISAWA, Uenyu 張 文郁","Tues., Wed.","２時限, １時限"
CO144,03,Chinese II 03 (Direct Method),2,Other Foreign Languages - Level 2,"IZUMI, Anna 泉 杏奈, CHEN, Tien Shi 陳 天璽","Mon., Fri.",２時限
CO145,01,Russian II 01,2,Other Foreign Languages - Level 2,"NAKAZAWA, Tomoko 中澤 朋子","Mon., Thur.",２時限
CO146,01,Korean II 01,2,Other Foreign Languages - Level 2,"ANN, Eunhee 安 垠姫, NAKAZATO, Hisaya 中里 久弥","Mon., Thur.",２時限
CO146,02,Korean II 02,2,Other Foreign Languages - Level 2,"JUN, Dongwon 全 東園, NAKAZATO, Hisaya 中里 久弥","Tues., Fri.",２時限
CO151,01,French III 01,2,Other Foreign Languages - Level 3,"HAYASHI, Yuki 林 ゆき",Tues.,"１時限, ２時限"
CO153,01,Spanish III 01,2,Other Foreign Languages - Level 3,"FOWLER, Arthur ファウラー アーサー, SOTO MEJIA, Maria Irina ソトメヒア マリア イリナ","Mon., Wed.",２時限
CO154,01,Chinese III 01,2,Other Foreign Languages - Level 3,"IGUCHI, Hirofumi 井口 博文","Tues., Fri.","１時限, ２時限"
CO156,01,Korean III 01,2,Other Foreign Languages - Level 3,"NAKAZATO, Hisaya 中里 久弥, ANN, Eunhee 安 垠姫","Wed., Fri.",２時限
CO161,01,Intensive French I 01,4,Intensive Courses,"BERTHET, Didier ベルテ ディディエ, MEHL, Frank Arnaud メール フランク アルノー","Tues., Fri.","１時限, ２時限"
CO161,02,Intensive French I 02,4,Intensive Courses,"TOMITA, Kyoko 富田 今日子","Mon., Tues., Wed., Fri.",２時限
CO163,01,Intensive German I 01,4,Intensive Courses,"NUNOKAWA, Yasuko 布川 恭子, SCHARLOTH, Joachim シャルロート ヨアヒム, WEICHERT, Robin Frank ヴァイヒャート ロビン フランク","Mon., Tues., Wed., Fri.","２時限, １時限"
CO165,01,Intensive Spanish I 01,4,Intensive Courses,"HIROYASU, Yoshimi 廣康 好美, KREJCOVA, Jolana クレイチョヴァ ヨラナ","Mon., Tues., Thur., Fri.",１時限
CO166,01,Intensive Spanish II 01,4,Intensive Courses,"HIROYASU, Yoshimi 廣康 好美, MATO, Shigeko 間藤 茂子","Mon., Tues., Thur., Fri.",２時限
CO167,01,Intensive Chinese I 01,4,Intensive Courses,"IZUMI, Anna 泉 杏奈, IGUCHI, Hirofumi 井口 博文, WANG, Yijen 王 怡人, HAN, Yue 韓 越","Thur., Tues., Wed., Fri.","１時限, ２時限"
CO168,01,Intensive Chinese II 01,4,Intensive Courses,"HAN, Yue 韓 越, IZUMI, Anna 泉 杏奈, CHEN, Tien Shi 陳 天璽","Fri., Thur., Wed.","２時限, ３時限"
CO170,01,Intensive Chinese III 01,3,Intensive Courses,"ARISAWA, Uenyu 張 文郁, OH, Zuirai 王 瑞来, WANG, Yijen 王 怡人","Wed., Thur., Fri.",２時限
CO177,01,Intensive Korean 01,3,Intensive Courses,"KIM, Shinyoung 金 信栄","Mon., Thur., Fri.",２時限
